LATITUDE,LONGITUDE,ID,TOTAL_DELIVERIES,KG_DEMAND
4.5963740,-74.0788546,24729,12,128
4.6226491,-74.1733008,20979,66,162
4.6950943,-74.0676023,26747,30,26
4.5687944,-74.2372521,15747,8,677
4.6923493,-74.1081547,938,55,346
4.6426484,-74.0622469,5744,1,1
4.7011645,-74.1241902,1342,7,127
4.7157806,-74.1266977,12070,22,753
4.5324826,-74.0883523,293,119,372
4.5701722,-74.0998170,9361,105,67
4.6775281,-74.0754854,26124,53,693
4.5111453,-74.1147050,9977,39,33
4.6082763,-74.0749412,713,155,458
4.7047996,-74.1243776,2768,31,596
4.5705049,-74.1633905,12647,12,31
4.6053139,-74.1965016,914,157,549
4.5583904,-74.0900097,13031,100,58
4.6034770,-74.1399044,2432,33,235
4.6672189,-74.0565114,9765,36,1032
4.6023097,-74.0763665,8599,29,449
4.7655500,-74.0298188,20679,18,10
4.6270765,-74.1694094,492,231,217
4.8467752,-74.0597153,7293,134,243
4.5261190,-74.2552386,25210,15,3
4.7003493,-74.0432688,20523,3,8
-2.8918409,-69.7419233,325,11,702
4.6881779,-74.1027390,13357,15,104
4.7301088,-74.0993659,19929,158,70
4.6229856,-74.1776332,6536,218,403
4.7490058,-74.1109801,13946,18,141
4.8738914,-74.1445180,19542,7,121
4.5610101,-74.1388858,370,80,824
4.7427313,-74.1013707,16436,3,502
4.5905370,-74.1573760,6434,49,41
4.6284919,-74.0670859,15284,17,93
4.5990213,-74.1884900,22586,20,143
4.5897132,-74.1573647,1418,157,266
4.7154339,-74.0594464,901,154,268
4.7237368,-74.0960855,11632,7,9
4.6358727,-74.1692139,1908,15,389
4.6688433,-74.0735515,9371,14,358
4.7090428,-74.2166650,15073,13,31
4.5884388,-74.1820315,6182,8,47
4.7176370,-74.2118674,3133,4,48
4.6507741,-74.0676372,23823,5,7
4.7024731,-74.0431423,539,183,498
4.5697416,-74.1632687,5911,32,1071
4.6246783,-74.1675649,2841,47,413
4.5759239,-74.1263371,798,39,492
4.6239625,-74.1676999,16127,6,577
4.8654279,-74.0439147,3883,1,1
4.5860455,-74.0674730,501,149,451
4.7299294,-74.0306570,6992,304,204
4.6888477,-74.0512558,19796,34,718
4.9194057,-74.0306568,19996,29,589
4.5857350,-74.0882113,6106,243,291
4.6593563,-74.0505721,305,52,439
4.6123738,-74.0772342,5799,1612,682
4.6987255,-74.0527323,14318,105,509
4.5420632,-74.0873418,6185,11,25
4.5712491,-74.1462420,154,65,713
4.5791948,-74.2131135,434,165,556
4.6854207,-74.1487483,5106,105,697
4.4935654,-74.1157236,1483,103,514
4.6845739,-74.1386391,19455,18,14
4.6086379,-74.2003547,384,13,304
4.6078801,-74.1795112,327,63,498
4.6860498,-74.0980949,13106,19,66
4.5719979,-74.0828540,5298,4,282
4.7075490,-74.0946020,17951,437,121
4.8147444,-74.3542724,20755,1,162
4.5721197,-74.1587512,10753,10,749
4.7034504,-74.0508949,21784,26,9
4.6216848,-74.1936437,7177,54,184
4.6592673,-74.0627479,2746,41,367
4.6157194,-74.1271179,13120,92,3065
4.6153353,-74.1127692,1759,5,97
4.7207279,-73.9663089,21065,79,292
4.5562359,-74.1119624,4187,21,261
4.6890735,-74.1160639,22701,18,274
4.7065725,-74.2294398,691,43,182
4.5974841,-74.0710135,12182,31,553
4.6110921,-74.2066507,274,44,343
4.7094553,-74.1434026,1237,26,545
4.5345980,-74.1090197,15491,313,438
4.5963196,-74.2008076,364,159,583
4.5740073,-74.1827681,1474,196,316
4.6154408,-74.1889204,9543,104,296
4.5843466,-74.1006617,10051,55,120
-2.8918409,-69.7419233,406,16,673
4.6701417,-74.0677874,1206,9,306
4.7395567,-74.0948720,693,46,537
4.6110523,-74.1777900,12232,87,494
4.7101613,-74.1294969,2744,45,121
4.5752092,-74.1118524,281,217,130
4.6228227,-74.1275441,11115,7,3
4.5793891,-74.1803843,976,23,286
4.6749286,-74.1205591,26783,7,47
4.7096691,-74.0509261,825,97,7
4.6840814,-74.1526780,5101,41,358
4.5460183,-74.1383571,5065,1,173
4.8862034,-74.0441200,3764,210,230
4.6003642,-74.1232710,16375,134,51
4.5767813,-74.2104145,381,17,859
-2.8918409,-69.7419233,283,104,627
4.7137491,-74.0309012,13244,25,25
4.6233496,-74.2062571,1780,209,632
4.6817714,-74.1004930,21320,1,3
4.3322339,-74.3731466,22904,37,371
4.5803983,-74.1942951,25208,2,329
4.6262137,-74.1994836,5365,27,260
4.6340768,-74.1639799,3129,27,441
4.6277984,-74.0727659,6750,36,39
4.6852456,-74.0900918,9067,19,45
4.6159829,-74.0708405,19169,20,49
4.5404779,-74.1381808,6408,264,250
4.6136005,-74.1122783,7408,7,224
4.7389162,-74.0902153,15465,113,223
4.7122010,-74.0591400,3774,160,361
4.7456316,-74.0891564,561,143,604
4.5524248,-74.0981628,5612,3,30
4.6291400,-74.1775372,6782,260,259
4.6179264,-74.1644387,3131,11,1326
4.4950466,-74.1107469,2157,7,699
4.6890165,-74.1077300,16194,159,1558
4.6949575,-74.1695603,13387,13,1
4.6015736,-74.1105318,920,201,358
4.5547075,-74.0825184,10973,10,894
4.6741565,-74.0684059,15782,10,15
4.7561617,-74.0968095,4389,17,888
4.7099064,-74.1198725,10679,13,25
4.6940592,-74.1039546,5669,190,193
4.5851101,-74.2129571,566,54,190
4.6185127,-74.1495194,18407,3,140
4.5703426,-74.2324467,330,456,440
4.6297587,-74.1711002,9159,38,149
4.5924215,-74.2042660,360,18,668
4.6495604,-74.1473205,7328,36,158
-2.8918409,-69.7419233,252,45,27
4.6467538,-74.1411802,385,86,490
4.7385231,-74.1058870,6274,3,214
4.5992785,-74.0786477,2211,10,852
4.7215277,-74.0419509,7760,44,534
4.6104576,-74.1572608,22283,3,20
4.6741922,-74.0810540,12360,62,144
4.5654164,-74.1017913,5988,3,209
4.6613031,-74.1149815,19144,31,311
4.6981723,-74.0568487,11000,62,381
4.5743202,-74.1804299,6375,98,372
4.6149556,-74.1091346,15555,152,108
4.7241495,-74.0573678,22609,24,71
4.7205315,-74.0524318,10447,3,307
4.6218596,-74.1863119,15983,46,559
-2.8918409,-69.7419233,340,8,111
4.7161928,-74.0599250,3834,252,222
4.6266957,-74.1877254,382,128,145
4.6494333,-74.0635560,4960,34,45
4.7490603,-74.0622062,8225,117,245
4.8637626,-74.0579696,3483,95,362
