ciudad,canon,area,lat,lng,url,costo total,costoxmetros
Medellín,10000000,500,6.275096,-75.596255,https://www.fincaraiz.com.co/bodega-en-arriendo/medellin/guayabal-det-6196169.aspx#pnlMap,140000000,778035
Medellín,17000000,1100,6.216612,-75.582515,https://www.fincaraiz.com.co/bodega-en-arriendo/medellin/guayabal-det-4924827.aspx,224000000,1711677
Medellín,7500000,503,6.247784,-75.569846,https://www.fincaraiz.com.co/bodega-en-arriendo/medellin/guayabal-det-6130536.aspx#pnlMap,110000000,782703
Bucaramanga ,17000000,2650,7.117075,-73.128804,https://www.fincaraiz.com.co/bodega-en-arriendo/bucaramanga/san_rafael-det-6234535.aspx#pnlMap,224000000,4123586
Bucaramanga ,7900000,780,7.140274,-73.153964,https://www.fincaraiz.com.co/bodega-en-arriendo/bucaramanga/parque_industrial_etapa-det-6248866.aspx,114800000,1213735
Bucaramanga ,17000000,1350,7.088554,-73.170044,https://www.fincaraiz.com.co/bodega-en-arriendo/bucaramanga/palenque-det-6257279.aspx,224000000,2100695
Bucaramanga ,12500000,740,7.088314,-73.132711,https://www.fincaraiz.com.co/bodega-en-arriendo/bucaramanga/provincia_soto_conjunto-det-6267968.aspx,170000000,1151492
Bucaramanga ,10000000,1000,7.110204,-73.141327,https://www.fincaraiz.com.co/bodega-en-arriendo/bucaramanga/cafe_madrid-det-6281414.aspx,140000000,1556070
Duitama ,7000000,1300,5.788923,-73.065671,https://www.fincaraiz.com.co/bodega-en-arriendo/duitama/ciudadela_industrial-det-6108898.aspx,104000000,2022891
Duitama ,3600000,600,5.792307,-73.06263,https://www.fincaraiz.com.co/bodega-en-arriendo/duitama/ciudadela_industrial-det-6289499.aspx,63200000,933642
Duitama ,7000000,1300,5.789681,-73.066004,https://www.metrocuadrado.com/inmueble/arriendo-bodega-duitama-*-1-garajes/MC2632984,104000000,2022891
duitama ,7800000,1450,5.791944,-73.064126,https://www.metrocuadrado.com/inmueble/arriendo-bodega-duitama-*-2-garajes/MC2632976,113600000,2256302
cali,20000000,2400,3.469882,-76.519756,https://www.fincaraiz.com.co/bodega-en-arriendo/cali/prados_del_norte-det-6307328.aspx,260000000,3734568
cali,16000000,645,3.41387,-76.54287,https://www.fincaraiz.com.co/bodega-en-arriendo/cali/nueva_tequendama-det-5997776.aspx,212000000,1003665
cali,12000000,1065,3.481945,-76.553936,https://www.fincaraiz.com.co/bodega-en-arriendo/cali/yumbo-det-6252054.aspx,164000000,1657215
cali,16000000,1800,3.455094,-76.511564,https://www.fincaraiz.com.co/bodega-en-arriendo/cali/santander-det-6206929.aspx,212000000,2800926
cali,18000000,1800,3.479193,-76.501438,https://www.fincaraiz.com.co/bodega-en-arriendo/cali/flora_industrial-det-6206793.aspx,236000000,2800926
pereira,24000000,1647,4.795384,-75.697131,https://www.fincaraiz.com.co/bodega-en-arriendo/pereira/villa-det-6275279.aspx,308000000,2562847
pereira,28000000,2270,4.817755,-75.835876,https://www.fincaraiz.com.co/bodega-en-arriendo/pereira/cerritos-det-6301374.aspx,356000000,3532279
pereira,24000000,1472,4.795176,-75.696876,https://www.fincaraiz.com.co/bodega-en-arriendo/pereira/villa-det-6153786.aspx,308000000,2290535
pereira,9505000,550,4.808834,-75.690447,https://www.fincaraiz.com.co/bodega-en-arriendo/pereira/villa-det-6251316.aspx,134060000,855839
pereira,8568000,640,4.808669,-75.69051,https://www.fincaraiz.com.co/bodega-en-arriendo/pereira/via_variante_condina-det-6326954.aspx,122816000,995885
