,lat,long,weight,y_pred
170,4.5635349,-74.1468654,1.0,1
171,4.7176273,-74.1031619,1.0,1
172,4.6137081,-74.1447799,1.0,1
173,4.5724785,-74.1674364,1.0,1
174,4.6886743,-74.0514223,1.0,1
175,4.5104032,-74.1182388,1.0,1
176,4.6361279,-74.1280104,1.0,1
177,4.5922911,-74.1558457,1.0,1
178,4.7424874,-74.1011258,1.0,1
179,4.5463606,-74.1116367,1.0,1
180,4.6643218,-74.142868,1.0,1
181,4.6086159,-74.167589,1.0,1
182,4.5796645,-74.2079622,1.0,1
183,4.5512415,-74.0834733,1.0,1
184,4.7236732,-74.0696116,1.0,1
187,4.6358967,-74.170041,1.0,1
188,4.625279,-74.1340464,1.0,1
189,4.6026155,-74.1658144,1.0,1
190,4.548558,-74.1503651,1.0,1
191,4.607659,-74.1755737,1.0,1
192,4.6896926,-74.1475522,1.0,1
194,4.7161378,-74.0573939,1.0,1
195,4.6227235,-74.0713448,1.0,1
196,4.5959409,-74.18877,1.0,1
198,4.6432687,-74.077767,1.0,1
200,4.683658,-74.1466389,1.0,1
201,4.6136044,-74.2013549,1.0,1
202,4.7248309,-74.0949157,1.0,1
203,4.5786714,-74.1363255,1.0,1
204,4.673881,-74.1087019,1.0,1
205,4.7118942,-74.1166833,1.0,1
207,4.5830134,-74.2089206,1.0,1
208,4.562957,-74.1303385,1.0,1
210,4.5623,-74.1389979,1.0,1
211,4.583653,-74.1677456,1.0,1
213,4.6309782,-74.1922729,1.0,1
214,4.5684535,-74.087085,1.0,1
216,4.602983,-74.0805926,1.0,1
217,4.6716115,-74.1082943,1.0,1
218,4.5842076,-74.1026705,1.0,1
219,4.6015736,-74.1105318,1.0,1
220,4.7232196,-74.0856317,1.0,1
221,4.7502325,-74.0637242,1.0,1
222,4.5673594,-74.0864526,1.0,1
223,4.7547902,-74.0844945,1.0,1
224,4.6858834,-74.1558484,1.0,1
225,4.5054087,-74.1147912,1.0,1
226,4.7136887,-74.1423573,1.0,1
227,4.6167632,-74.1892782,1.0,1
228,4.5402329,-74.1171586,1.0,1
229,4.6057789,-74.0989406,1.0,1
230,4.7655979,-74.0517151,1.0,1
231,4.6140537,-74.2002019,1.0,1
232,4.7425854,-74.116746,1.0,1
234,4.5398399,-74.1167072,1.0,1
235,4.6111906,-74.2006247,1.0,1
236,4.7451453,-74.1180754,1.0,1
237,4.749671,-74.0477844,1.0,1
238,4.5731338,-74.1631343,1.0,1
239,4.5815663,-74.1978181,1.0,1
240,4.518503,-74.1176654,1.0,1
241,4.6305971,-74.1098477,1.0,1
242,4.5904248,-74.1042519,1.0,1
243,4.6027457,-74.0807041,1.0,1
244,4.750557,-74.0634842,1.0,1
245,4.5742448,-74.1772312,1.0,1
247,4.5430213,-74.1703976,1.0,1
248,4.7496759,-74.0930462,1.0,1
249,4.5944682,-74.1978994,1.0,1
250,4.611921,-74.208078,1.0,1
252,4.6057054,-74.0718633,1.0,1
253,4.6065062,-74.1762909,1.0,1
254,4.5831672,-74.1140589,1.0,1
255,4.572009,-74.0943657,1.0,1
256,4.6951877,-74.1749809,1.0,1
257,4.5374056,-74.1396952,1.0,1
258,4.614058,-74.158869,1.0,1
259,4.5359947,-74.0870396,1.0,1
260,4.6256607,-74.1653741,1.0,1
261,4.6070072,-74.2251385,1.0,1
262,4.7386693,-74.0889011,1.0,1
263,4.56677,-74.114243,1.0,1
264,4.6048017,-74.0818892,1.0,1
265,4.6221057,-74.1918831,1.0,1
266,4.5573172,-74.0831561,1.0,1
267,4.6408748,-74.0685676,1.0,1
268,4.693848,-74.1729785,1.0,1
269,4.5583757,-74.1386046,1.0,1
270,4.5929514,-74.0906354,1.0,1
271,4.5836142,-74.1092285,1.0,1
272,4.5323634,-74.1147513,1.0,1
273,4.6418691,-74.1461435,1.0,1
274,4.6044671,-74.1216424,1.0,1
275,4.8043361,-74.1067955,1.0,1
276,4.6424983,-74.1665021,1.0,1
277,4.5792438,-74.2219463,1.0,1
278,4.7416889,-74.08887,1.0,1
280,4.5819778,-74.213834,1.0,1
281,4.7393224,-74.0908919,1.0,1
282,4.7157718,-74.0534004,1.0,1
283,4.6360147,-74.1767441,1.0,1
284,4.6438888,-74.1610723,1.0,1
285,4.7400624,-74.0940363,1.0,1
286,4.5823804,-74.2044236,1.0,1
287,4.6205269,-74.1479434,1.0,1
288,4.7232593,-74.0894853,1.0,1
289,4.6178227,-74.188169,1.0,1
290,4.5474409,-74.1109194,1.0,1
291,4.5003287,-74.1121294,1.0,1
292,4.6538789,-74.136068,1.0,1
293,4.6004016,-74.0908816,1.0,1
295,4.6982994,-74.093874,1.0,1
297,4.6398557,-74.0755035,1.0,1
298,4.716357,-74.0588259,1.0,1
299,4.5171039,-74.0895275,1.0,1
300,4.6669266,-74.1488572,1.0,1
301,4.6487571,-74.0649537,1.0,1
302,4.6301606,-74.2029868,1.0,1
303,4.7567157,-74.0852969,1.0,1
305,4.6625769,-74.0568895,1.0,1
306,4.5965923,-74.1013937,1.0,1
307,4.5934492,-74.1915367,1.0,1
308,4.5824887,-74.1297098,1.0,1
309,4.7562971,-74.1174271,1.0,1
310,4.7428042,-74.1010825,1.0,1
312,4.6114545,-74.0836172,1.0,1
313,4.6419547,-74.1386368,1.0,1
314,4.7451066,-74.1169177,1.0,1
315,4.7327715,-74.1004719,1.0,1
316,4.6048328,-74.1471995,1.0,1
318,4.6168335,-74.1598399,1.0,1
319,4.6261407,-74.0717592,1.0,1
320,4.7392861,-74.0841804,1.0,1
321,4.5437493,-74.1464689,1.0,1
322,4.5844769,-74.1038527,1.0,1
324,4.6239141,-74.075569,1.0,1
325,4.6763069,-74.1415142,1.0,1
326,4.7060612,-74.1235945,1.0,1
327,4.5870609,-74.1879399,1.0,1
330,4.6315506,-74.1881452,1.0,1
331,4.6111252,-74.1918249,1.0,1
333,4.5447686,-74.0837417,1.0,1
334,4.6414861,-74.1387991,1.0,1
335,4.5428311,-74.1392007,1.0,1
336,4.6271267,-74.1997172,1.0,1
337,4.7382966,-74.0968771,1.0,1
338,4.6243511,-74.1487657,1.0,1
