LATITUDE,LONGITUDE,CLIENT_LIST,CLIENT_WEIGHT,OWN
4.63,-74.2,9744;5074;13789;6858;16333;5365;11331;444;4801;5179;6445;13351;15878;1861;61;3053;5679;19780;17834;19842;5941;4663;1619;19601;2004;8009;13147;5160;13337;9493;8008;5577;7329;7843;5306;18578;4660;7842;213;17044,40,0
4.56,-74.1,8141;15391;6095;5573;6350;15161;5469;6177;5455;6016;13032;7173;5587;14349;15203;14661;20687;5965;14827;5584;15160;15402;6367;13159;15136;5676;4231;19243;15050,29,0
4.69,-74.11,9426;9420;1146;12508;5880;9425;11051;1228;12744;14049;9419;13098;2388;10056;530;14344;14355;10575;938;16194,20,0
4.67,-74.08,7222;19976;20680;22308;11348;12360;20873;6934;7128;2066;4943;7132;6937;6942;2071;12214;11390;15545;13616;1445;8807,21,0
4.92,-74.03,21333;17940;17655;19364;20321;14635;700;1608;21032;20308;17933;17955;1517;19996,14,0
4.73,-74.11,2787;13308;2784;14128;1375;13025;5024;18957,8,0
5.04,-74,18903;1276;1028;1045;1491,5,0
4.56,-74.11,8734;9620;4454;13311;5157;2965;5150;12515;13286;635;4272;12292;192;4187;3656;21332;9574;10021;4671;3542;4192,21,0
4.58,-74.14,4075;7855;7874;17391;3931;7953;4071;12230;3481;5823;4067;3937;13519;7845;5816;7872;7854;4073;4487;14061;10729;15925,22,0
4.74,-74.26,15046;21162;18394,3,0
4.68,-74.12,19605;11227,2,0
4.73,-74.08,2890,1,0
4.77,-74.04,5764;5737;19289;5080;6762;17535,6,0
4.6,-74.22,16584;14164,2,0
4.5,-74.11,19924;2157;10271;7615;6234;9905;5665;5620;1573;1632;11883;1460;547;11521;5667;8433;5943;6749;8434;1841;3752;1486;5352;5144;7601;4812;11894;11798;6338,29,0
4.65,-74.13,5322;18026;6064;12737,4,0
4.57,-74.11,5042;7972;13288;6824;13665;5026;21956,7,0
4.62,-74.08,7251;9971;7427;6558;2331;7949;19811;3436;11778;9565;7248;7470;6500;7477;7255;9949;20501;5778;21207;5762;15295;3471;20524;13912,24,0
4.65,-74.11,7645;5077;4557;19504,4,0
5.02,-74.01,1132;1338,2,0
5.61,-73.82,810,1,0
4.54,-74.11,5919;16158;8572;6150;9265;5908;14320;6395;16190;6170;5907;6731;13105;6145;6393;22050;16174;592;11437;12686;6154;6611;15198,23,0
